data,cultura,umidade_solo,ph_solo,temperatura,nitrogenio,fosforo,potassio,radiacao_solar,precipitacao,volume_irrigacao,necessidade_fert,rendimento_tha
2024-01-01,Soja,62.45,6.94,32.0,49.34,23.25,41.85,8.46,3.45,50.0,28.09,10.513
2024-01-02,Cana,52.93,7.73,29.62,33.39,28.55,46.62,13.7,12.2,50.0,38.98,9.584
2024-01-03,Algodão,64.72,5.08,25.3,30.18,22.08,31.02,15.93,39.16,37.68,49.43,9.282
2024-01-04,Soja,77.85,6.65,21.77,39.96,26.92,27.65,27.44,2.2,37.48,35.82,12.0
2024-01-05,Soja,51.49,5.68,28.49,37.96,11.06,21.98,20.78,16.59,50.0,57.16,9.14
2024-01-06,Soja,51.49,5.81,26.97,34.56,32.13,25.1,11.32,14.21,47.46,44.06,8.914
2024-01-07,Algodão,78.69,5.73,29.48,48.36,30.01,70.0,20.43,2.04,37.87,0.31,12.0
2024-01-08,Soja,66.51,5.51,28.18,51.46,21.83,49.94,10.26,4.08,49.31,21.06,10.152
2024-01-09,Milho,47.96,6.24,30.25,41.06,36.59,18.79,23.41,4.22,50.0,29.95,9.876
2024-01-10,Milho,63.14,5.54,22.32,57.73,39.38,19.13,15.64,30.61,39.91,13.69,10.443
2024-01-11,Milho,48.05,6.42,31.59,26.3,13.92,40.78,17.53,1.6,50.0,61.45,9.668
2024-01-12,Soja,48.01,6.16,25.99,37.68,22.37,41.57,24.63,12.84,50.0,42.5,10.803
2024-01-13,Soja,58.63,6.01,35.38,31.4,22.31,41.59,11.56,3.25,50.0,43.84,9.645
2024-01-14,Cana,26.3,5.47,21.55,17.6,20.6,31.94,11.01,10.5,50.0,61.66,7.26
2024-01-15,Algodão,29.13,5.74,33.68,39.01,38.29,33.49,15.08,4.36,50.0,25.12,8.578
2024-01-16,Trigo,46.57,6.8,25.99,38.54,28.06,38.93,23.19,6.91,50.0,33.78,10.582
2024-01-17,Soja,39.81,6.6,21.74,58.16,27.35,36.03,10.4,14.3,50.0,21.56,10.335
2024-01-18,Soja,59.71,5.42,22.58,47.57,9.96,8.37,5.0,13.04,44.61,64.08,8.596
2024-01-19,Milho,41.38,6.28,23.4,27.71,36.35,32.24,15.74,16.1,50.0,41.38,9.3
2024-01-20,Soja,33.82,6.8,27.12,62.25,17.61,24.78,20.76,0.49,50.0,23.03,10.06
2024-01-21,Algodão,76.98,4.86,27.61,54.65,30.6,37.1,24.0,9.42,38.85,19.95,11.721
2024-01-22,Milho,51.61,6.63,22.13,46.99,32.77,70.0,15.68,1.21,50.0,0.68,12.0
2024-01-23,Soja,56.01,5.67,24.88,37.28,43.61,39.41,15.94,4.3,47.69,21.6,10.159
2024-01-24,Algodão,33.63,6.66,35.71,28.49,16.91,31.24,23.77,6.36,50.0,65.87,8.784
2024-01-25,Cana,46.83,5.59,33.64,35.53,5.0,46.06,8.65,4.12,50.0,56.97,7.922
2024-01-26,Soja,56.66,4.76,27.18,53.06,31.84,40.79,16.06,5.87,49.63,17.78,9.211
2024-01-27,Milho,37.74,4.9,25.19,62.62,48.01,40.04,18.95,45.3,48.09,0.0,10.794
2024-01-28,Soja,60.64,6.24,25.6,58.52,42.39,42.28,20.25,1.16,49.73,3.26,12.0
2024-01-29,Milho,45.99,6.41,28.07,34.13,32.1,59.68,15.45,9.0,50.0,29.7,10.701
2024-01-30,Soja,50.62,5.48,19.89,26.56,25.08,21.43,18.17,4.03,50.0,58.63,7.689
2024-01-31,Milho,45.97,6.71,23.71,41.69,38.07,40.68,5.56,1.14,50.0,30.2,9.795
2024-02-01,Cana,82.78,4.87,16.66,18.78,20.26,23.88,14.71,1.38,29.79,77.14,7.681
2024-02-02,Milho,54.8,6.15,27.0,43.88,34.76,41.67,20.27,23.85,50.0,31.63,11.638
2024-02-03,Soja,39.13,5.23,28.24,38.23,35.05,23.98,13.09,16.94,50.0,40.87,8.082
2024-02-04,Milho,67.34,5.68,22.58,34.41,40.6,29.99,18.29,19.0,37.41,38.05,10.967
2024-02-05,Soja,36.69,6.24,32.87,20.86,57.6,31.46,20.23,38.17,50.0,41.25,9.921
2024-02-06,Algodão,58.13,5.51,18.87,46.16,33.92,46.71,16.29,1.87,47.39,20.91,10.306
2024-02-07,Milho,25.6,5.89,17.68,33.61,24.91,46.02,18.85,3.51,50.0,36.35,8.408
2024-02-08,Soja,35.08,7.01,26.12,25.96,29.74,20.05,13.19,8.85,50.0,55.97,8.225
2024-02-09,Soja,57.95,5.74,30.24,5.53,12.31,35.66,16.97,5.29,50.0,84.42,7.538
2024-02-10,Trigo,66.08,6.87,33.42,39.67,23.05,26.49,21.05,4.34,45.62,39.54,10.472
2024-02-11,Soja,57.57,5.3,22.71,61.27,25.91,19.9,18.78,3.54,50.0,25.35,10.226
2024-02-12,Trigo,53.27,6.62,30.39,59.94,24.76,32.4,15.07,7.21,50.0,26.3,10.333
2024-02-13,Soja,50.48,7.35,24.81,34.51,31.52,31.3,19.12,6.86,50.0,30.53,8.741
2024-02-14,Soja,32.82,4.5,24.14,32.77,21.78,64.12,21.57,1.41,50.0,39.01,8.896
